500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
177	20233.20	18.681	1.8	3.4	62.27	-0.552	-2.067	0	0	1.54	2.63	1.45	-1	0	0	-9.71	86.00	
178	20404.50	28.272	3	4	122.46	-2.107	0.181	0	0	2.5	3.94	2.05	-1	0	0	-9.06	257.30	
179	20669.15	29.255	2.6	3.7	128.45	-0.421	-0.532	0	0	2.38	5.66	2.1	-1	0	0	-9.81	521.95	
180	20964.00	19.333	2.5	0.4	37.51	-0.562	-0.492	0	0	2.36	2.24	1.95	-1	0	0	-6.55	202.40	
181	21070.40	28.553	2.8	6.4	168.62	-0.642	0.301	0	0	2.62	5.05	2.25	-1	0	0	-8.72	308.80	
182	21115.65	13.715	0.95	2.05	26.97	-0.191	2.378	0	0	0.84	1.84	0.85	-1	0	0	-13.08	354.05	
183	21250.00	26.566	0.9	2.15	50.23	-4.454	1.073	0	0	0.67	1.79	0.7	-1	0	0	-31.92	488.40	
184	21352.35	20.386	1.7	3.25	64.2	0.241	0.291	0	0	1.52	2.28	1.15	-1	0	0	-10.73	590.75	
185	21326.35	19.213	1.5	4.1	70.6	-3.17	0.853	0	0	1.38	2.98	1.15	-1	0	0	-11.11	564.75	
186	21364.50	31.713	1.6	4.35	121.6	0.12	0.291	0	0	1.34	3.53	1	-1	0	0	-18.96	602.90	
187	21645.75	26.145	1.5	3.85	77.65	2.488	1.073	0	0	1.18	2.53	0.7	-1	0	0	-17.68	269.75	
188	21785.65	13.986	1.6	2.35	37.03	-0.181	2.217	0	0	1.47	2.28	0.95	-1	0	0	-7.62	409.65	
189	21832.80	32.135	2.15	4.45	145.7	0.03	-1.485	0	0	1.95	4.16	1.75	-1	0	0	-13.21	456.80	
190	21955.05	25.082	3.7	3.6	118.36	-3.913	2.689	0	0	2.99	5.75	2.3	-1	0	0	-6.7	579.05	
191	22017.50	19.162	1.3	1.3	33.25	-1.144	0.672	0	0	1.17	1.3	0.95	-1	0	0	-13.07	27.10	
192	22073.10	26.175	1.25	3.55	80.14	-3.22	0.14	0	0	1.06	2.6	0.9	-1	0	0	-19.77	82.70	
193	22215.10	32.867	3.25	4.5	167.17	1.354	1.655	0	0	2.63	5.8	2.3	-1	0	0	-9.98	224.70	
194	22261.25	37.121	1.3	4.55	141.96	0.582	-0.983	0	0	1.12	4.28	0.9	-1	0	0	-26.53	270.85	
195	22320.40	26.205	2.05	7	147.86	-1.354	1.063	0	0	1.71	4.12	0.95	-1	0	0	-12.24	330.00	
196	22378.00	20.898	2	4.3	90.53	-1.244	-0.963	0	0	1.67	3.38	1.5	-1	0	0	-10.04	387.60	
197	22425.75	20.467	1.35	2.95	57.76	-4.013	-0.12	0	0	1.21	3	0.75	-1	0	0	-13.55	435.35	
198	22422.10	11.989	1.2	0.8	17.3	-0.522	1.053	0	0	1.07	1.67	1	-1	0	0	-8.98	431.70	
199	22470.60	35.325	1.95	2.4	104.02	-1.354	1.154	0	0	1.57	2.66	1.5	-1	0	0	-18.03	480.20	
200	22743.95	39.137	1.85	4.2	167.35	-1.716	1.023	0	0	1.46	4.53	1.25	-1	0	0	-21.42	139.15	
201	22933.70	25.152	1.7	3.4	85.47	-0.09	2.107	0	0	1.53	3.29	1.05	-1	0	0	-13.16	328.90	
202	23068.75	14.337	3.45	2.35	54.92	-0.732	-1.836	0	0	3.37	3.1	2.95	-1	0	0	-3.41	463.95	
203	23110.25	26.988	1.95	4.6	121.7	-2.97	-1.124	0	0	1.74	5.48	1.65	-1	0	0	-12.39	505.45	
204	23213.60	14.246	3.65	1.3	45.87	-2.679	-2.679	0	0	3.55	1.87	0.65	-1	0	0	-3.21	608.80	
205	23358.20	10.524	3.8	0.8	31.54	-0.13	2.95	0	0	3.66	0.81	0.5	-1	0	0	-2.3	139.00	
